Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 50deg, Chopper 230Hz, time constant=0.03, sensitivity=20mV
10.83	7.2250179e-11	-4.48229e-05	-4.7684e-06	4.76839e-05	-115.344
10.86	7.2450318e-11	-6.48503e-05	2.57493e-05	4.00546e-05	139.764
10.89	7.2650457e-11	-8.01091e-05	-4.67303e-05	5.6267e-05	-152.952
10.92	7.2850596e-11	-4.19619e-05	2.3842e-05	4.38693e-05	111.54
10.95	7.305073499999999e-11	8.86922e-05	-2.86104e-06	8.29701e-05	-2.64
10.98	7.325087399999999e-11	0.000209809	0.000178338	0.000267031	42.282
11.01	7.3451013e-11	0.000362398	0.000183106	0.000367166	29.418
11.04	7.365115199999999e-11	0.000367166	0.00017357	0.000408174	30.33
11.07	7.3851291e-11	-3.81472e-05	5.14986e-05	9.63216e-05	150.09
11.1	7.405142999999999e-11	-0.000179292	-0.000124932	0.000227929	-163.938
11.13	7.4251569e-11	0.0	3.81473e-06	1.04905e-05	135.0
11.16	7.4451708e-11	-1.43052e-05	1.23978e-05	5.24523e-05	-178.554
11.19	7.4651847e-11	-3.43325e-05	4.29156e-05	4.57766e-05	165.702
11.22	7.4851986e-11	-5.53133e-05	5.43597e-05	7.05724e-05	152.616
11.25	7.5052125e-11	-3.24252e-05	4.38693e-05	7.24797e-05	109.41
11.28	7.525226399999999e-11	3.81473e-06	1.52589e-05	3.62399e-05	57.45
11.31	7.545240299999999e-11	6.38966e-05	3.05178e-05	8.48775e-05	54.462
11.34	7.5652542e-11	-4.48229e-05	-3.81472e-05	5.9128e-05	-114.444
11.37	7.585268099999999e-11	-1.43052e-05	5.14986e-05	3.24252e-05	90.0
11.4	7.605282e-11	-8.67848e-05	5.0545e-05	0.000102997	155.376
11.43	7.625295899999999e-11	0.0	1.90736e-05	6.48503e-05	98.568
11.46	7.6453098e-11	-3.14715e-05	9.25069e-05	9.44142e-05	50.862
11.49	7.6653237e-11	-2.19346e-05	3.05178e-05	5.0545e-05	104.676
11.52	7.6853376e-11	7.62945e-06	-4.48229e-05	2.86103e-05	-149.034
11.55	7.7053515e-11	-2.86103e-05	8.58313e-06	1.14442e-05	-75.966
11.58	7.7253654e-11	-1.62126e-05	-4.76839e-05	6.19893e-05	-93.9
11.61	7.745379299999999e-11	4.19619e-05	-1.62126e-05	2.57493e-05	-128.748
11.64	7.7653932e-11	2.28883e-05	9.53682e-07	1.23978e-05	152.742
11.67	7.7854071e-11	-8.58313e-06	-2.47956e-05	2.57493e-05	-142.032
11.7	7.805420999999999e-11	-2.47956e-05	1.62126e-05	1.14442e-05	139.968
11.73	7.8254349e-11	-1.33515e-05	3.24252e-05	3.24252e-05	75.204
11.76	7.845448799999999e-11	-3.81472e-05	1.23978e-05	3.24252e-05	167.826
11.79	7.865462699999998e-11	6.67575e-06	-6.00817e-05	5.0545e-05	-131.688
11.82	7.8854766e-11	-7.34334e-05	1.90736e-05	5.9128e-05	176.82
11.85	7.9054905e-11	3.81472e-05	2.3842e-05	3.05178e-05	146.31
11.88	7.9255044e-11	-6.67575e-06	3.62399e-05	4.29156e-05	105.312
11.91	7.9455183e-11	-3.81473e-06	-1.90736e-05	2.3842e-05	-163.446
11.94	7.965532199999999e-11	-5.0545e-05	-7.05724e-05	8.58312e-05	-100.656
11.97	7.9855461e-11	9.5368e-06	2.28883e-05	3.71935e-05	59.982
12.0	8.00556e-11	1.71663e-05	3.24252e-05	6.10356e-05	105.804
12.03	8.025573899999999e-11	-1.81199e-05	-6.67575e-06	3.52862e-05	160.95
12.06	8.0455878e-11	5.72208e-06	-1.14442e-05	5.43597e-05	-97.254
12.09	8.065601699999999e-11	2.86104e-06	-7.34334e-05	6.48503e-05	-57.528
12.12	8.0856156e-11	0.0	-9.53682e-07	3.52862e-05	159.864
12.15	8.1056295e-11	6.67575e-06	2.19346e-05	4.57766e-05	81.87
12.18	8.1256434e-11	1.81199e-05	-7.62945e-06	4.38693e-05	35.31
12.21	8.1456573e-11	-2.6703e-05	7.24797e-05	8.58312e-05	127.134
12.24	8.1656712e-11	-3.71935e-05	-3.81472e-05	2.0981e-05	52.254
12.27	8.185685099999999e-11	-4.19619e-05	2.19346e-05	2.57493e-05	-119.358
12.3	8.205699e-11	4.38693e-05	2.47956e-05	8.58313e-06	-28.302
12.33	8.2257129e-11	-1.33515e-05	4.67303e-05	6.2943e-05	135.456
12.36	8.245726799999999e-11	1.04905e-05	-6.67575e-06	8.58313e-06	106.26
12.39	8.2657407e-11	1.52589e-05	-3.62399e-05	5.72207e-05	-84.612
