Position (mm) 	 Delay (ps) 	 X (V) 	 Y (V) 	 R (V) 	 theta (°)
11.118	7.415706e-11	0.0320818	0.0312272	0.0447161	44.136
11.121	7.417707e-11	0.0300027	0.033375	0.0447199	48.366
11.124	7.419708e-11	0.028721	0.0339701	0.0443003	50.25
11.1275	7.4220425e-11	0.0252	0.0361483	0.0438883	55.086
11.1305	7.424043499999999e-11	0.0231553	0.0374453	0.043957	58.788
11.1335	7.426044499999999e-11	0.0211259	0.0381701	0.0435297	61.368
11.1365	7.4280455e-11	0.019127	0.0418627	0.0462191	65.952
11.1395	7.4300465e-11	0.0166322	0.0413516	0.0445101	68.274
11.1425	7.432047499999999e-11	0.0137597	0.0407526	0.0430644	71.688
11.1455	7.4340485e-11	0.0111466	0.0422595	0.0436175	74.928
11.1485	7.4360495e-11	0.00897986	0.0411685	0.0422404	77.604
11.1515	7.4380505e-11	0.00682071	0.0413249	0.0418627	81.396
11.1545	7.4400515e-11	0.0038376	0.0419772	0.0420916	85.272
11.1575	7.4420525e-11	0.00176621	0.0417941	0.0417254	88.128
11.1605	7.4440535e-11	-0.00124741	0.0416224	0.041672	92.28
11.1635	7.4460545e-11	-0.00505832	0.0446513	0.0449641	96.792
11.1665	7.448055499999999e-11	-0.00733569	0.0420916	0.0426447	100.398
11.1695	7.4500565e-11	-0.010151	0.04089	0.0421488	104.382
11.1725	7.4520575e-11	-0.0129815	0.0398028	0.0418246	108.264
11.176	7.454392e-11	-0.0147286	0.0364077	0.0390894	111.81
11.179	7.456392999999999e-11	-0.0188447	0.0377047	0.0423281	116.946
11.182	7.458394e-11	-0.020733	0.0353549	0.0408938	120.972
11.185	7.460395e-11	-0.0249444	0.0360072	0.0438616	125.208
11.188	7.462396e-11	-0.0229264	0.0316851	0.0393679	126.438
11.191	7.464397e-11	-0.0264283	0.0297586	0.0399516	131.46
11.194	7.466398e-11	-0.0318911	0.0283281	0.0429156	138.516
11.197	7.468398999999998e-11	-0.0310785	0.0268441	0.0411456	139.782
11.2	7.470399999999999e-11	-0.0323756	0.0251504	0.0409663	142.434
